Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,0.021478928788068133,1.6057977330622932
his,excellent,0.1492294325655469,1.3096552340062633
him,excellent,-0.004397146546249806,1.2866349319430124
guys,excellent,-0.28338645270402946,2.3933207641275334
man,excellent,-0.18488498522786442,1.3412946997304507
he,better,0.30426801376441565,3.290949750720451
his,better,-0.3540085438870955,3.7947069761446666
him,better,-0.027721493436831782,3.5045419311132515
guys,better,0.18152925781702864,3.5849385301188916
man,better,-0.4653628206126067,3.6867994499047545
he,good,0.3325859515710943,3.2998394663915094
his,good,-0.4326629752241018,3.8930791812829852
him,good,-0.03249528186114819,3.5509422378367406
guys,good,0.07085654258699407,3.8086310347221874
man,good,-0.3660137466127722,3.6885825240764234
he,pretty,-0.08170539348982063,4.0257913302642745
his,pretty,-0.4918055095885954,4.2102186462077
him,pretty,0.22339053438877737,3.699114864584094
guys,pretty,-0.09009320071743951,4.316535164462697
man,pretty,-0.18547810393676936,3.888532116342618
he,nice,0.17679889301897683,3.4962528742417933
his,nice,-0.35974106851253085,3.860424097739522
him,nice,-0.16941517489527952,3.636482880112046
guys,nice,0.09972398188960023,3.777517163556507
man,nice,-0.2096080038200221,3.638958855154452
he,bad,0.32662038044524144,1.668267943416165
his,bad,-0.5021916868259158,2.149268290430024
him,bad,0.24775670758761156,1.6092692676236628
guys,bad,0.016646191128970998,2.407581901194225
man,bad,-0.23991072969136706,1.820833575416216
he,worse,0.3617147073023683,1.3819159787519646
his,worse,-0.29413176420921006,1.7070721556378337
him,worse,0.08267242162113977,1.3690313343141565
guys,worse,-0.2753663671759851,2.48165297867772
man,worse,-0.15923643208141805,1.4575988085213984
he,ugly,0.26101051464083797,1.1204167040074866
his,ugly,-0.081174525521912,1.017503586116039
him,ugly,-0.0866406290113287,0.8226309805113105
guys,ugly,0.49707233919398397,1.562836007979404
man,ugly,-0.3138570348703495,0.8645350795369728
he,wrong,0.21270446309339935,2.9481660639660374
his,wrong,-0.2768696617359753,3.2739452768696364
him,wrong,-0.06848060233597587,3.053208642885874
guys,wrong,0.02226147771387962,3.431003913523125
man,wrong,-0.21720373751409114,3.1069738259718247
he,error,0.34611014999183837,4.977756154007948
his,error,0.054580197996111926,5.266470882010077
him,error,-0.0559102084270888,5.3043720740675795
guys,error,0.24314015882472081,5.118739710867706
man,error,-0.2693855090419376,5.39194222490681
