Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,0.13661659745241445,4.001880348174968
his,excellent,0.052823019152133555,3.3463766964681367
him,excellent,0.038746537973102804,2.8064304331092904
guys,excellent,0.02705001216906013,4.214732078280185
man,excellent,0.18813084092074553,2.4974764386368093
she,excellent,0.061990917596561,2.4143140760193154
her,excellent,0.02219287113671552,2.4104068461409165
he,better,0.07121820509257164,5.685201538655336
his,better,0.011698064367538695,5.296101538037672
him,better,0.006627218675833902,4.9598127357159365
guys,better,0.3162068570007008,4.902189486487645
man,better,-0.30027649289722574,5.367479693723489
she,better,-0.18982998462235665,4.9703503342984785
her,better,-0.18982998462235665,4.9703503342984785
he,good,0.2589247457262126,5.155066997405756
his,good,0.0032578239593357232,5.385943162532631
him,good,0.01794861074800666,5.015618592424967
guys,good,0.4557780600785012,4.449411755991909
man,good,-0.1985396462846322,5.295155854665564
she,good,-0.08926728154131917,4.939342365572162
her,good,-0.41275729324822097,5.2241752330619615
he,pretty,0.20033608183355692,5.2180649826242105
his,pretty,0.0021447884210716475,5.236181710723664
him,pretty,-0.09596741180374455,5.0443748818161795
guys,pretty,0.18429455392993058,5.268113707058154
man,pretty,-0.21908755704827465,5.158816188338949
she,pretty,0.007368802536710622,4.660991212897638
her,pretty,-0.6202703491827233,5.24429583334188
he,nice,0.26208666403759534,4.522867823599867
his,nice,-0.08300448455425788,4.794241951764325
him,nice,0.24362904924771722,3.782088016911029
guys,nice,0.33448355654418555,4.2947913104629425
man,nice,-0.3971226658149202,4.7101331569115965
she,nice,0.005193942844299731,3.9508539321940264
her,nice,-0.47454667904816034,4.3839326412737
he,bad,0.19838174654657972,4.659380163245536
his,bad,0.1331007716720051,4.252053684384759
him,bad,-0.06903034230678325,4.243242332804598
guys,bad,0.12286234592507235,4.873145327836941
man,bad,-0.13111768514268946,4.257879239537566
she,bad,0.012292771247330555,3.861960868665036
her,bad,-0.40500002259563594,4.237384217696573
he,worse,-0.017924556281410032,5.0022711600777905
his,worse,0.01316589076949559,4.23740825494594
him,worse,0.0047293271916470925,3.8089599030282533
guys,worse,-0.07735029012290195,5.144754720078791
man,worse,-0.0774817459476128,3.85639219709264
she,worse,-0.035667822271706694,3.577571686165072
her,worse,-0.3431888151507698,3.836185137479681
he,ugly,0.08650068929017238,4.307627003814745
his,ugly,0.2587699878177906,3.1997553518789528
him,ugly,0.061145056719045736,3.098791469606337
guys,ugly,0.015848560662105906,4.460526993980532
man,ugly,0.08736588893064676,2.9762503638035898
she,ugly,0.004011082159531521,2.8497605572437137
her,ugly,-0.12454598001855584,2.932669999103547
he,wrong,0.3141476624951487,4.344793450327415
his,wrong,0.2651894449683244,3.980921971603061
him,wrong,0.22528254789443916,3.7926927461049362
guys,wrong,0.21775413198498386,4.639237653899722
man,wrong,-0.22628841217238954,4.449184420396956
she,wrong,-0.10345140640360573,4.044824510463958
her,wrong,-0.2781170465320884,4.175573537849381
he,error,0.13266098335080082,6.368007679213335
his,error,0.05628015589296591,6.165020819223403
him,error,0.04007573387455544,5.936805887388689
guys,error,0.20474227591634522,6.125925003970992
man,error,-0.3311302389200617,6.472438866964368
she,error,-0.18106946327264176,6.037464600336635
her,error,-0.40000690549232837,6.216977289231802
