Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,0.035802485689109334,2.599796565911264
his,excellent,0.003420344357885728,1.7642734976315322
him,excellent,0.12018935567398359,0.9610948278546712
guys,excellent,0.1337705004345492,1.2225288044463412
man,excellent,0.1060942856006238,0.1780309229122851
she,excellent,-0.04899144962447206,0.5965424935518006
her,excellent,0.14798539006669448,0.6514441325179006
he,better,0.3615752434482443,3.57390512441307
his,better,-0.03290832945107198,4.029829943343888
him,better,-0.16079709986852916,3.8410357170150085
guys,better,-0.1823776495719149,3.977238782616276
man,better,-0.3203418444919704,3.626349340043924
she,better,0.34019666853596736,3.4099499477671222
her,better,0.34019666853596736,3.4099499477671222
he,good,0.2510193008893388,4.693295993450338
his,good,-0.01462533334788354,4.963429244165972
him,good,-0.04764098061687735,4.758454314407568
guys,good,-0.26958085392605563,5.084056904039726
man,good,-0.20544929550262672,4.653338930235579
she,good,0.3150395117347493,4.462593793321547
her,good,-0.29320713571661133,4.847042174874178
he,pretty,0.1595884251807708,3.5170720539670497
his,pretty,-0.17140305501085565,3.572109828830435
him,pretty,-0.168741596339003,3.129682975226245
guys,pretty,-0.2889023056790824,3.38396003392283
man,pretty,-0.24430190558686715,2.867017207973297
she,pretty,0.2594494538361048,2.7256028356521425
her,pretty,-0.3328967485434851,3.099620394152484
he,nice,0.37641539825948545,3.315019841232025
his,nice,-0.051715025814842205,3.7820757495543367
him,nice,-0.2594947408829272,3.6279858237304348
guys,nice,-0.14170680159864443,3.6385454577991743
man,nice,-0.18188145538614914,3.2924311203159586
she,nice,0.5055935439916414,2.9998534437637114
her,nice,-0.39805841561018507,3.568154880171263
he,bad,0.21467630937005547,3.6472089821334617
his,bad,0.31189168993052285,3.1145479871506234
him,bad,0.13018718055120881,3.196377345597982
guys,bad,-0.07195547165526478,3.485864990206305
man,bad,-0.2850768442538179,3.2303279878804876
she,bad,0.17802709518365895,3.1247627879347895
her,bad,-0.16913930071394737,3.3495194128368624
he,worse,0.2138074090691055,2.5491377271675613
his,worse,-0.0582058610204252,1.9613965981187995
him,worse,-0.0842875326375158,1.2788832930412375
guys,worse,-0.3036597975816912,1.6292493760017217
man,worse,-0.22614094522876022,0.8197090755810869
she,worse,0.2578373151649908,0.8355550634973138
her,worse,-0.16374227897968083,1.0836592534588536
he,ugly,-0.19835249772226973,2.808882064712579
his,ugly,-0.1297081190396897,1.9633639407993109
him,ugly,0.15494465737483365,1.0833627490148439
guys,ugly,-0.3023169613751858,1.561971885988029
man,ugly,0.21134143537917535,0.6494359580443633
she,ugly,0.1931214985983518,0.7996661168481506
her,ugly,0.5049269861046407,0.6567314576111
he,wrong,0.06984058331706981,3.3636972833252994
his,wrong,0.08938996630722326,2.787792127967758
him,wrong,-0.2653020930504106,2.741276975497916
guys,wrong,-0.18944421598395636,2.8249595278568154
man,wrong,-0.25890093193977026,2.3742919317802937
she,wrong,0.03182518212920862,2.3783506940384127
her,wrong,-0.02459802356742256,2.428780347313853
he,error,0.024407792637261658,5.379659121625366
his,error,-0.013848973703349492,5.111347405592384
him,error,-0.21020937925507505,5.064670522839763
guys,error,0.04962210606466759,4.869004015349956
man,error,-0.5046168399873829,4.864782630965745
she,error,-0.18510378041419828,4.917317033750621
her,error,0.222785677710239,4.670786320241271
