Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,-0.013984115641672451,1.3560576881630075
his,excellent,0.0038788662404886077,0.9926224466915908
him,excellent,0.4724022169578454,0.5937553180612364
guys,excellent,-0.011261740714829853,2.0375502100706626
man,excellent,0.6804963272747135,0.271409773048061
she,excellent,0.5638973577761236,0.36549139931194
her,excellent,0.47324806137616704,0.8193810798846896
he,better,0.05403603864407597,3.672899175679207
his,better,-0.18261532479545559,3.7886187089055294
him,better,-0.08575431146049407,3.6217853323783564
guys,better,0.2247329211460074,3.6242412154678667
man,better,-0.3907528840037133,3.655865536345805
she,better,-0.3961508703863609,3.695066063942565
her,better,-0.3961508703863609,3.695066063942565
he,good,0.053254811543386335,4.086721467449917
his,good,-0.22865045262914677,4.255834785551479
him,good,-0.2069369415161011,4.132394384585769
guys,good,0.11820307679056873,4.206088730350443
man,good,-0.38817006236656937,4.092195909587418
she,good,-0.281178291299285,4.08365270659651
her,good,-0.28843395043317527,4.296673761512619
he,pretty,0.34657245947364573,2.9084826547870284
his,pretty,-0.2601865167476378,3.4570556509568946
him,pretty,-0.07449908124250902,3.2109662311732583
guys,pretty,0.21085306201680148,3.3115897439791664
man,pretty,-0.20434265187015274,3.18210594734352
she,pretty,-0.14580807580996052,3.182271042960986
her,pretty,-0.29338326079704946,3.4727941431230844
he,nice,0.2091850746340355,3.0834514456245294
his,nice,-0.23593344816599926,3.4249208544309457
him,nice,0.13520512497256687,3.0602418777083615
guys,nice,0.3107534746123726,3.1091174891713242
man,nice,-0.18777253905551106,3.1643461195289624
she,nice,-0.3297436645246529,3.246982315563637
her,nice,-0.13774706368228934,3.3313754013084447
he,bad,0.17828206418950435,2.6000222873794754
his,bad,-0.14979467813502526,2.7912039804840494
him,bad,-0.24118283451110697,2.731562570858665
guys,bad,-0.2787400385002361,3.609251227148506
man,bad,-0.3375061077105367,2.6320066060053877
she,bad,-0.020136802216155575,2.535957287925213
her,bad,-0.45276994252982794,3.0197256160477557
he,worse,-0.1078831008044065,1.6321224796604572
his,worse,-0.3199177885569266,1.4460599381592039
him,worse,-0.3305619228099928,1.2345099169625977
guys,worse,0.10922331860831512,2.090465724309777
man,worse,-0.17952711956612377,0.966050388888178
she,worse,-0.06719666989824838,0.9673599492825823
her,worse,-0.19619510980753438,1.3586363175500646
he,ugly,0.2180534839921775,1.3057469178588934
his,ugly,0.1203785752639053,1.0238679403194535
him,ugly,0.7054071439152179,0.48045042687253386
guys,ugly,-0.21062573627993797,2.1830029311682106
man,ugly,0.8293248615643539,0.3061500743524326
she,ugly,0.4849049769427833,0.49542917479595405
her,ugly,0.6618956819743166,0.694214002142711
he,wrong,0.1387155358398047,1.7840162599864386
his,wrong,0.128031400384729,1.5861528436622998
him,wrong,-0.4663888930925959,1.8166215116798548
guys,wrong,-0.013455244382408733,2.4657569146172946
man,wrong,-0.5733506509413095,1.6334423726400635
she,wrong,-0.1300359578517605,1.5207680418896894
her,wrong,-0.32585638881295914,1.9110364835719384
he,error,-0.42638117065126413,5.8120841463673765
his,error,-0.14071972873134833,5.34334269241109
him,error,-0.4565930193426005,5.469019834175133
guys,error,0.075007339313928,5.366014831626167
man,error,-0.5142005882039969,5.321220293608507
she,error,-0.21664668600179499,5.239861014951256
her,error,-0.17981576167516414,5.370691753103133
