Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,-0.009057649645335607,2.7987888310872977
his,excellent,0.16777530797470322,1.9866820566887395
him,excellent,-0.06039668101748256,1.5719514063526265
guys,excellent,-0.4289807979832049,3.9786164100864263
man,excellent,0.199947886207279,1.3202352532401185
she,excellent,-0.4367893472435786,1.5025075217661972
her,excellent,-0.14791863439996525,1.4149918818502105
he,better,0.1946734739838551,4.28132225858087
his,better,-0.026279374732252885,4.417187053276553
him,better,0.013042569644017026,4.0868868040234485
guys,better,0.1215605904712188,4.870141578084563
man,better,0.38972917310213967,3.727867087002298
she,better,0.11027731592799789,3.95904204784074
her,better,0.11027731592799789,3.95904204784074
he,good,0.3394986403813404,4.187532611729251
his,good,0.04717282046028757,4.590721126389839
him,good,-0.06486973902774862,4.475025085490471
guys,good,0.29990120167829926,4.584914239761089
man,good,0.5121895855967377,3.927481189868005
she,good,-0.04721568498712459,4.366095679660834
her,good,-0.5186142797916318,4.6641760246494774
he,pretty,0.3082099246331551,4.184945891637191
his,pretty,0.032048757874086946,4.523444298504956
him,pretty,-0.08840516202655015,4.3983220413914665
guys,pretty,0.09188548708824709,5.117244502103354
man,pretty,0.4764636918741755,3.8626297893096098
she,pretty,0.07765381020195723,4.197094937265299
her,pretty,-0.366169161025055,4.47404217437878
he,nice,0.1868991362904592,4.115195245428216
his,nice,-0.08848542720003888,4.309037075584173
him,nice,0.14036901078263705,3.7428993458080058
guys,nice,0.297124885485336,4.212782238154851
man,nice,0.18454516519568281,3.693447286072999
she,nice,0.2469903034265497,3.6559910572508243
her,nice,-0.5350926853656992,4.126243387401185
he,bad,0.29529993564483903,3.210727414037822
his,bad,-0.02869563844741489,3.4295386318200296
him,bad,-0.18423424014243794,3.187994567048225
guys,bad,0.009281717263959521,4.3699703237747505
man,bad,0.36339174581645156,2.670221138642079
she,bad,0.0010755185123961022,2.9135195556805518
her,bad,-0.39717944882476935,3.16582941183523
he,worse,0.2919159380473174,2.726843814851155
his,worse,-0.08062440311208173,2.8016542410051244
him,worse,-0.1665578350850548,2.363452729234287
guys,worse,-0.021738071767605577,3.919742947189267
man,worse,0.2079929247756038,2.0076681688717883
she,worse,0.04555098718402175,2.0477071108542355
her,worse,-0.3709994109525445,2.307396724934618
he,ugly,0.26512457193456695,2.77629368162718
his,ugly,-0.031621025155823095,2.7381085886032714
him,ugly,-0.2394874816117301,2.423296327673939
guys,ugly,0.01230117660094876,3.8618587653218235
man,ugly,0.28653271800103325,1.9382225419780876
she,ugly,-0.02205776248498239,2.0844375142896467
her,ugly,-0.08870822164928938,2.147914879406072
he,wrong,0.1814042340077985,3.7317075465097744
his,wrong,-0.0020125003764601555,3.7155080609712043
him,wrong,-0.07919358533842946,3.4573134889493318
guys,wrong,0.2594107693628833,3.9989653801439693
man,wrong,0.13744490878371468,3.239277070576242
she,wrong,-0.030697843257069923,3.3044103588823526
her,wrong,-0.3991106665070214,3.540917689800908
he,error,0.08461488080186301,6.230180886461644
his,error,0.050964788090344625,6.093956307031418
him,error,-0.07025284652755061,6.058746590642904
guys,error,0.1757470713030833,6.254380372370711
man,error,-0.14994605780865414,6.105982314817412
she,error,0.2939031922855952,5.773319815757395
her,error,-0.30229533632240035,6.132576367916914
