Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,0.14039438113194247,0.5103773399329167
guys,excellent,-0.28289980207343807,1.4177863626636418
man,excellent,-0.10331287950511213,0.5984479603014785
he,better,0.2640009982466751,1.9401534690276436
guys,better,0.1781925711599945,2.155103756906845
man,better,0.45876718481688156,1.8615132798930016
he,good,-0.048621253205245914,1.7904134139563967
guys,good,0.1342931608946232,1.994422713861081
man,good,0.3682874303526744,1.6431497303839961
he,pretty,0.08612684270768566,0.4256741191709921
guys,pretty,-0.04212179416451361,1.278268498362531
man,pretty,0.18977397910892171,0.42513675559283276
he,nice,0.4115103229554842,0.7187210481897688
guys,nice,0.08949850062063054,1.401847423534744
man,nice,0.6120794512034553,0.6339661721314473
he,bad,0.050186171626663466,1.151891498067418
guys,bad,-0.3316979848860989,1.919465982982246
man,bad,-0.29227004664048256,1.2763029869125904
he,worse,-0.033147706692695185,0.47053519733703236
guys,worse,0.060933229382882856,1.253655619640019
man,worse,0.32002894890139655,0.4031748819197446
he,ugly,-0.3086174279245689,0.3887887196949006
guys,ugly,0.3108338953599811,1.1998755440836353
man,ugly,-0.07690437479285513,0.39598536453257965
he,wrong,0.2028261111342891,2.1023943097342612
guys,wrong,-0.07808410590156867,2.555190256346286
man,wrong,0.5116300449704005,1.9816093601355944
he,error,0.05048313641205839,4.256127219052316
guys,error,0.09613679708066,4.31914031617381
man,error,0.18381619499705626,4.207796915089415
