Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,0.069509061570653,3.9518030993087194
his,excellent,0.09025363960424065,2.1755304420586716
him,excellent,0.03315542795232579,1.9811147868460324
guys,excellent,0.013040372450749755,3.4275984599291967
man,excellent,0.013083499320850544,1.8265206801391547
she,excellent,0.06868547425906889,1.637179770352969
her,excellent,0.13872209037286753,1.559999749303185
he,better,0.3115512921263479,4.798617731264911
his,better,0.16089122860561222,4.435394983310055
him,better,0.3006830696996973,4.180576914129915
guys,better,0.2538554842822292,4.6751888327620525
man,better,-0.48860705875239313,4.952289194792848
she,better,-0.03304851220406744,4.456978723605151
her,better,-0.03304851220406744,4.456978723605151
he,good,0.3934395364722631,4.61839786063349
his,good,0.24767287694922388,4.442701489276992
him,good,0.03822181731034135,4.6835243027171325
guys,good,0.1870485409081214,4.995519011721905
man,good,-0.40507093249329407,5.04069000058484
she,good,-0.022251097737790267,4.614062440036437
her,good,-0.3267119857971979,4.756443609886067
he,pretty,0.340035031837889,4.388364375337125
his,pretty,0.34380137689764373,3.6676802198564147
him,pretty,-0.12784612627369982,4.254532967143867
guys,pretty,0.13338697722645562,4.628768793211538
man,pretty,-0.4606947531353114,4.441427958876064
she,pretty,-0.020081732817440932,3.9597458209373744
her,pretty,-0.12260283761706788,3.992509428199513
he,nice,0.1787477725574024,4.827969421744612
his,nice,0.3121497057171243,3.6313123198525625
him,nice,0.1629323737706836,3.797054461816817
guys,nice,0.22213733544913566,4.31865135435983
man,nice,-0.211748377051715,4.117111727372358
she,nice,-0.30120756590657377,4.0404533009562185
her,nice,-0.26038292740119595,3.9635338845682897
he,bad,0.1568412345461059,4.18367699515498
his,bad,0.4071934210675079,2.4063979860191456
him,bad,0.012312262525608792,2.836118854469431
guys,bad,0.09377222805811695,3.804308649789867
man,bad,-0.42872426591205093,3.103003577757686
she,bad,0.03530593363092396,2.601814341037423
her,bad,-0.31996937577780743,2.7609315357717583
he,worse,0.272007486327605,3.759245552791943
his,worse,0.08495405836862777,2.5607450793169555
him,worse,-0.21092661145943348,2.673641728529834
guys,worse,0.01340374122158211,3.694820829014717
man,worse,-0.2751634132199794,2.5449288053507506
she,worse,-0.013445257759060003,2.1936207888960664
her,worse,-0.17624765745652196,2.2403849743537383
he,ugly,0.06566347685634304,3.987745871073908
his,ugly,0.07592869463619016,2.2515459216353992
him,ugly,-0.06377924467356219,2.1477615853066654
guys,ugly,-0.3248914447005893,3.9268901944169508
man,ugly,-0.4039680570775362,2.2324345607920963
she,ugly,-0.009344879791616145,1.768857718615604
her,ugly,-0.30040857378567287,1.8676224560919692
he,wrong,0.3566513612716122,4.064323170990344
his,wrong,0.39229662311247654,3.1466268165820046
him,wrong,-0.21085043068301368,3.887304724151298
guys,wrong,0.1194551874730917,4.30793218569977
man,wrong,-0.395042234135028,3.9069944267857615
she,wrong,0.07311461618736928,3.417266570619272
her,wrong,-0.06534567788752116,3.4785679766931388
he,error,0.1516842510679193,6.648375896758922
his,error,0.25415062089378415,5.89048061876321
him,error,-0.39469045546297493,6.709054368206074
guys,error,-0.016855801889445857,6.871044609807012
man,error,-0.13900536654943998,6.307385126425451
she,error,-0.0504989275944757,6.159881095885699
her,error,-0.3147602973942575,6.28257514991162
