Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,-0.23833089080447556,2.7398187196373045
his,excellent,0.24032983649660883,1.7493424210662702
him,excellent,0.10772183156453062,1.5880939347116718
guys,excellent,-0.08748751274224119,3.358905598694313
man,excellent,0.4197292153895613,1.2971428496676842
she,excellent,0.2645725652445638,1.3239811925027485
her,excellent,0.32711353661617826,1.3140142951631082
he,better,-0.03204638870618669,4.5661982021327105
his,better,-0.18613417588751682,4.514631531065077
him,better,-0.014318793055881454,4.132063503608216
guys,better,0.29150081724102,4.222838634576392
man,better,-0.18711649146069154,4.297472957934116
she,better,-0.24942227456604002,4.1950637494684155
her,better,-0.24942227456604002,4.1950637494684155
he,good,0.1517089604633075,4.263583081305676
his,good,-0.1320306683762942,4.493041131516937
him,good,-0.2057874405063634,4.365719911258508
guys,good,0.3727397644265584,4.02739365804772
man,good,-0.06842314260464955,4.23668335487643
she,good,-0.28657652966275327,4.269935848058141
her,good,-0.3982541227729136,4.4153998394331175
he,pretty,0.346465856706275,3.2980012972950754
his,pretty,-0.21627694779531054,3.9738906069773736
him,pretty,-0.057132579016434606,3.577086764301224
guys,pretty,0.09386797105949592,4.278194050834651
man,pretty,-0.21224251147762543,3.7223062317903133
she,pretty,-0.2939760617656833,3.611530270948314
her,pretty,-0.22273011792263636,3.6301245881305504
he,nice,0.16969681431850808,3.5051369892828728
his,nice,-0.369091275632389,3.988612999665673
him,nice,0.005187974263188717,3.340532457801301
guys,nice,0.13962393955993344,4.040385891089365
man,nice,-0.06093871610731852,3.4042265265631193
she,nice,-0.2696744318653021,3.4148845156114724
her,nice,-0.1286098786166017,3.3808280025995114
he,bad,0.2155510332806504,2.6318555400131673
his,bad,-0.11887702614891874,2.7259147619048916
him,bad,-0.05485944320560887,2.3887878242801306
guys,bad,0.13867916128995633,3.392611353303087
man,bad,0.040955415945812874,2.303092126657334
she,bad,-0.10592489004838605,2.267608267338519
her,bad,-0.29727564819526314,2.459729673601146
he,worse,0.20989451455115077,2.274455231925878
his,worse,-0.4800561138619199,2.518951869136844
him,worse,0.2991971006909163,1.4880610901189508
guys,worse,0.06653219499146457,3.2069520643779508
man,worse,-0.09333056363277704,1.8314295002030518
she,worse,0.06405260503616725,1.5330119818667434
her,worse,0.02037779164572959,1.6222209979780806
he,ugly,0.02550011977047898,2.304934360239788
his,ugly,-0.33950270728876164,2.077251393320269
him,ugly,0.2060366812645904,1.2808107762885976
guys,ugly,-0.04980742808685482,3.1847696699913794
man,ugly,0.06830942754440714,1.3890673102110638
she,ugly,0.04546317065265982,1.1808311434942762
her,ugly,0.06804315188986212,1.2471634603643582
he,wrong,0.3421831599960721,3.7682932556344393
his,wrong,-0.06889091381755003,4.2988536876640735
him,wrong,0.2009794515644927,3.8572010593316235
guys,wrong,0.14426771342260256,4.569048806389466
man,wrong,-0.13556714482507465,4.188353862129966
she,wrong,-0.20896342539348953,4.1090753103706925
her,wrong,-0.38170606333569096,4.289535901523614
he,error,0.20564104534003813,5.600639589586711
his,error,0.14581188411214416,5.62302518891077
him,error,-0.2744235546215127,5.997491356627285
guys,error,-0.11244340465813116,6.662891935981477
man,error,-0.4575222017083622,6.169471906065947
she,error,-0.49817670263567015,5.98178033724994
her,error,-0.4156697381475482,6.009322017492156
