Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,-0.34593844129065754,2.730975712484093
his,excellent,0.22473934414399158,1.2977392778277923
him,excellent,0.409633563809495,0.9946890774699398
guys,excellent,-0.18880276054502132,4.1268300064055214
man,excellent,0.014207732803281019,1.173112151719519
she,excellent,0.06911941762334753,1.5674395033624104
he,better,-0.0500312121114576,4.749211212762389
his,better,0.055418035527507896,4.179376294351227
him,better,-0.2446390054946372,4.341205967521698
guys,better,0.3763270768277813,4.422899457049527
man,better,0.055100597514067394,4.112138760790788
she,better,0.42014286963767206,3.755145417381996
he,good,0.09805476589001713,5.383361041445112
his,good,-0.08577434603397469,5.329110964020547
him,good,-0.14646909327398722,5.292718296968487
guys,good,0.325457332424903,5.303823021794562
man,good,0.18860213652167898,5.060653067613804
she,good,0.35623538718673825,4.8345323413649846
he,pretty,0.18506142537089582,3.7527669190558584
his,pretty,-0.2190705454531419,3.8456411699061315
him,pretty,-0.03757422850303887,3.5808721459236716
guys,pretty,0.18251756327162402,4.661893364802653
man,pretty,0.1334032608354584,3.4487322752599976
she,pretty,0.37849186561180026,3.2203900106299237
he,nice,0.22450383027925114,3.0488270284966967
his,nice,-0.051036384894490965,2.914527248507895
him,nice,-0.04462282319510788,2.7965807595283207
guys,nice,0.37077891044661093,3.749006668362301
man,nice,0.3082782554025206,2.5508343540422223
she,nice,0.43499737748485634,2.403397972253243
he,bad,0.09897708063405357,3.2278175906434057
his,bad,-0.16746244859959372,2.9569824437402397
him,bad,0.08291821070240585,2.637707184504186
guys,bad,0.15273047657940986,4.26451436089785
man,bad,0.14998088851894745,2.5724088940642775
she,bad,0.2505566726589984,2.5833525330364804
he,worse,0.17673447554016072,2.3508701041569693
his,worse,-0.435719194512624,2.010594356164863
him,worse,-0.04858534495336706,1.539374963211043
guys,worse,-0.11947124156591764,4.172065602416626
man,worse,-0.042328824421859854,1.4565947638794394
she,worse,0.22801626436805508,1.5969985578835066
he,ugly,-0.14801388224645465,2.4047740685465655
his,ugly,0.1754344324641869,1.1594319327200715
him,ugly,0.011340529055602691,1.016259924289057
guys,ugly,-0.2525356715716705,4.0434606313521835
man,ugly,-0.09436332998512607,0.9504295485274015
she,ugly,-0.5230801895232148,1.7336412140414177
he,wrong,0.4105542248151558,3.23064473291385
his,wrong,-0.2329110214532687,3.8196891809359306
him,wrong,-0.13132298281947558,3.6070472383019885
guys,wrong,0.2340426907759698,4.490229930370047
man,wrong,0.04042548313518695,3.46103753696258
she,wrong,-0.1383879571325931,3.816539451644775
he,error,0.2538887789989586,4.909592828202151
his,error,-0.14804029186753115,5.242691161625392
him,error,0.04045196525844353,5.008489486335376
guys,error,-0.010416746967992174,6.301133130548902
man,error,-0.33024578824536466,5.197151275354028
she,error,0.14762031668574271,4.956623046652731
