Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,-0.180394794668923,1.334178421910653
his,excellent,0.6793122106091212,0.7181032839327502
him,excellent,0.5762045901377316,0.8150891722357745
guys,excellent,-0.32775228014227487,2.7051983023833945
man,excellent,0.840548211741888,0.49085920587475995
he,better,0.08156449415091743,3.2962049786428635
his,better,-0.41540006316196476,3.717618460075348
him,better,-0.36832593889206333,3.667246612698688
guys,better,0.34342934065158215,3.2697004889368686
man,better,-0.5034417074973142,3.729673799964549
he,good,-4.1976625794715567e-05,3.711159846594862
his,good,-0.36173377550069424,4.025460002798811
him,good,-0.32713833590335195,3.9854130996693424
guys,good,0.35001455450801083,3.533754407628238
man,good,-0.42115136600182085,4.023137877991755
he,pretty,-0.03179251998621369,3.4340335621158395
his,pretty,-0.40165649234696493,3.752807254783144
him,pretty,-0.25681871016942526,3.626029086763646
guys,pretty,-0.04052220242503317,4.0856479334046885
man,pretty,-0.5397416929516643,3.8014901873925706
he,nice,0.18792133804121247,2.834416254372141
his,nice,-0.3037721552401946,3.253891172540655
him,nice,-0.08768168666942565,3.0705303414060245
guys,nice,0.4883826906489196,2.6515277641188293
man,nice,-0.48854281623136575,3.3394826511459823
he,bad,-0.0016823980199850079,1.6706424997377507
his,bad,-0.15677365810809482,1.8139451619172504
him,bad,-0.0774794749407724,1.7432532414069966
guys,bad,-0.17912364943487663,2.903572257721168
man,bad,-0.1396413276520355,1.7516093298015971
he,worse,-0.1718205581826327,1.404595984629744
his,worse,0.26720102727161704,1.1454620651060428
him,worse,0.08341470464022448,1.2651864691720347
guys,worse,-0.08978298199458165,2.5613231990824588
man,worse,0.1759803417650398,1.1661371907755964
he,ugly,0.10981742118017497,0.9662387481906322
his,ugly,0.24593454075999976,0.9395098695702989
him,ugly,0.10591697521839714,0.9953338316057583
guys,ugly,-0.4257458861724926,2.5777760599188984
man,ugly,0.3325844916220622,0.825290203796822
he,wrong,-0.3958634607268401,2.6525627274937347
his,wrong,-0.337464146727797,2.6468069263593823
him,wrong,-0.3867613625903663,2.667894757592023
guys,wrong,-0.0013005257279326537,3.171218465745462
man,wrong,-0.34872337569098116,2.6029908520352123
he,error,0.36222874218118084,4.188844198692403
his,error,-0.34342465435821856,4.798090538130142
him,error,-0.40349242932349355,4.834132511575267
guys,error,0.024119987943829153,4.919253370840437
man,error,-0.25216877989178277,4.687221105059692
